i,host
GQ2_UK3_2_1_132834,Periplaneta_americana_dataset
GQ2_UK3_2_1_160822,Scheffersomyces_segobiensis
GQ2_UK4_2_1_42260,Crocanthemum_greenei
GQ2_UK4_2_1_23969,Pseudeuparius_sepicola_dataset
GQ2_YZ1_2_1_221384,Frankliniella_intonsa_dataset
GW_HX1_2_156893,Stephania_cephalantha
GW_HX1_2_114231,Caloenas_nicobarica
GW_XX1_2_99709,Coptis_teeta
J3_LZ2_2_1_57426,Rhinella_marina
J3_LZ2_2_1_49794,Boa_constrictor
J5_LD1_2_6547,Pampusana_beccarii
L1_QZ1_2_32104,Aquilaria_sinensis
L1_YZ1_2_1_94888,Alliopsis_billbergi_dataset
Nd19SPW1_151935,Periplaneta_americana_dataset
Nd19SPW1_86680,Periplaneta_americana_dataset
Nh10SPW1_148715,Pseudeuparius_sepicola_dataset
Nh11SPW1_73635,Chrysomya_bezziana_dataset
Nh11SPW1_42751,Pergamasus_crassipes
Nh11SPW1_167,Carpinus_betulus
Nh16SPW1_230,Helwingia_omeiensis
Nh55SPW2_70048,Scheffersomyces_segobiensis
Nh57SPW1_84788,Gossypium_arboreum
Nh57SPW1_156032,Allygidius_commutatus_dataset
Nh95SPO1_235571,Scheffersomyces_segobiensis
Nq27SPW1_38317,Jacana_jacana
Ns101SPO1_29924,Epicrius_mollis
Ns101SPO1_85860,Phoenix_dactylifera
Ns106SPO1_37566,Rhinella_marina
Ns106SPO1_33939,Phoenix_dactylifera
X1_LD1_2_1_158163,Euphorbia_lathyris
X1_LZ2_2_1_93022,homo_sapiens
X1_LZ2_2_1_51470,Heterobasidion_annosum
X1_LZ2_2_1_158292,Succisa_pratensis
X2_AZ1_2_1_157883,Pampusana_beccarii
X2_JG1_2_1_129338,Amaurobius_ferox
X2_JX1_2_1_204750,Frankliniella_intonsa_dataset
X2_LD1_2_1_273748,Araneus_angulatus
X2_QZ1_2_1_162795,Alca_torda
X2_QZ1_2_1_17375,Coptis_teeta
X2_YZ_1_2_1_224882,Viviania_marifolia
X2_YZ_1_2_1_194159,Sipha_flava_dataset
X3QZ1_2_1_247310,Gossypium_arboreum
X3QZ1_2_1_126793,Amilenus_aurantiacus
X3QZ1_2_1_300764,Malania_oleifera
X3_25_57560,Phoenix_dactylifera
X3_JX1_2_1_86838,homo_sapiens
X3_LZ2_2_1_148534,Gomphocerus_sibiricus_dataset
X4_LD1_2_1_237987,Canna_indica
X4_LZ1_2_1_3571,Manis_pentadactyla
X4_PM1_2_1_15252,Gomphocerus_sibiricus_dataset
X4_PM1_2_1_45690,Tiliqua_scincoides
X4_PM1_2_1_163290,Cinnamomum_aromaticum
X4_PM1_2_1_163290,Persea_americana
X4_QZ1_2_1_10608,Cyprinus_carpio
X5_JX1_2_1_120721,Coptis_teeta
X5_JX1_2_1_63879,Phalangium_opilio
X5_LD1_2_1_43722,Helwingia_omeiensis
X5_LD1_2_1_237475,Areca_camarinensis
XC1_HA1_2_1_42423,Coptis_teeta
XC1_LZ1_2_1_33619,Coffea_arabica
XC1_YZ2_2_1_156867,Rana_temporaria
XC2_LZ2_2_1_13492,Erythroxylum_alaternifolium
XC2_LZ3_2_1_111547,Streptopelia_turtur
XC3_LZ3_2_1_334125,Eratigena_atrica
XC3_LZ4_2_1_1992,Gomphocerus_sibiricus_dataset
chSP5W2_44250,Orthetrum_coerulescens_dataset
hlSP44W1_70356,Dipsacus_fullonum
ld16SPW1_58924,Coptis_teeta
ld32SPW1_91906,Araneus_angulatus
ld32SPW1_54455,Manis_pentadactyla
ld44SPW1_5965,Carpoglyphus_lactis
C2-LD1-2-2_36939,Coptis_teeta
GL_X2_A1_1_16675,Macrotermes_natalensis_dataset
GL_X2_A5_2_82218,Erythroxylum_alaternifolium
A1_LZ2_2_226927,Pampusana_beccarii
A1_TZ1_2_38654,Phoenix_dactylifera
A1_YZ1_2_1_110968,Calochortus_balsensis
A1_YZ1_2_1_110972,Boa_constrictor
A1_YZ1_2_1_129767,Allygidius_commutatus_dataset
A1_YZ1_2_1_18643,Canna_indica
A1_YZ1_2_1_32556,Canna_indica
A1_YZ1_2_1_48149,Canna_indica
A1_YZ1_2_1_64602,Pseudeuparius_sepicola_dataset
B1_LD1_2_3_25858,Aquilaria_sinensis
B1_NC_1_244655,Rhinella_marina
B1_NC_2_2_81281,Talpa_europaea
B1_UK_H1_293517,Periplaneta_americana_dataset
B1_UK_H10_15967,Quercus_engelmannii
B1_UK_H10_264272,Frankliniella_intonsa_dataset
B1_UK_H12_148705,Rana_temporaria
B1_UK_H12_591141,Cyrtopogon_pulchripes_dataset
B1_UK_H2_131256,Boana_sibleszi
B1_UK_H3_512666,Rhinella_marina
B1_UK_H4_148891,Anax_junius_dataset
B1_UK_H5_83466,Malania_oleifera
B1_UK_H7_9303,Araneus_angulatus
B1_XXZ_H3_43591,Aptinothrips_rufus_dataset
B1_XXZ_H4_182995,Anabrus_simplex_dataset
B1_XXZ_H5_265411,Heterocephalus_glaber
B1_XZ_H2_138693,Erodium_cicutarium
B1_XZ_H4_22665,Rhinella_marina
B1_XZ_H4_60182,Viviania_marifolia
B1_YZ1_1_H_146183,Eratigena_atrica
B1_YZ1_1_H_28317,Phoenix_dactylifera
B1_YZ1_1_H_33240,Periplaneta_americana_dataset
B1_YZ1_1_H_33244,Juglans_californica
B1_YZ1_1_H_36495,Boana_sibleszi
B1_YZ1_1_H_38085,Chimonanthus_praecox
B1_YZ1_1_H_86156,Phoenix_dactylifera
B1_YZ1_1_H_894,Nematopogon_robertella_dataset
B1_YZ1_2_2_135668,Zalophus_californianus
B1_YZ1_2_2_54198,Erodium_cicutarium
B1_YZ1_2_2_8719,Alca_torda
B1_YZ1_2_3_114541,Phoenix_dactylifera
B1_YZ1_2_3_121232,Ilex_asprella
B1_YZ2_2_92972,Curcuma_longa
B2_DZ2_2_22056,Cornus_florida
B2_LZ3_2_1_210397,Cinnamomum_aromaticum
B2_LZ3_2_1_210397,Persea_americana
B2_MZ2_2_120888,Boana_sibleszi
B2_TZ_H1_426958,Areca_camarinensis
B2_UK_H1_132577,Cyprinus_carpio
B2_YZ1_2_1_119745,Aramus_guarauna
B2_YZ1_2_1_146634,Aramus_guarauna
B2_YZ1_2_1_148693,Canna_indica
B2_YZ1_2_1_273022,Leiobunum_manubriatum
B2_YZ4_2_1_12670,Ceratosolen_fusciceps_dataset
B3_LZ1_2_1_103594,Stratiolaelaps_miles
B3_LZ2_2_101327,Heterocephalus_glaber
B3_LZ2_2_83774,Erythroxylum_alaternifolium
B3_YZ3_2_60296,Pergamasus_crassipes
B3_YZ3_2_68554,Phoenix_dactylifera
C1-DZ1-2-1_231287,Phoenix_dactylifera
C1-JB1-2-1_34825,Aquilaria_sinensis
C1-LZ1-2-2_55217,Phoenix_dactylifera
C1-TZ-H2_147832,Actenoides_hombroni
C1-TZ-H2_53194,Coptis_teeta
C1-YZ1-H3_100121,Curcuma_longa
C2-LZ-H2_62742,Berberis_aquifolium
C2-YZ5-H2_23180,Canna_indica
C2-YZ5-H2_55843,Rana_temporaria
D1_TZ1_2_12686,homo_sapiens
D2_LZ2_2_1_85492,Phoenix_dactylifera
D3_LZ1_2_1_13775,Anabrus_simplex_dataset
D6_LZ1_2_127983,Periplaneta_americana_dataset
D6_LZ2_2_237968,Allygidius_commutatus_dataset
D6_YZ1_2_101868,Cyprinus_carpio
D6_YZ1_2_133444,Crocanthemum_greenei
D6_YZ1_2_4166,Canna_indica
D6_YZ2_2_108479,Manihot_esculenta
D6_YZ2_2_53032,Bos_taurus
G1_UK_2_1_252323,Cocos_nucifera
G1_UK_2_2_133063,Talpa_europaea
G1_XZ_H1_222518,Balaeniceps_rex
G1_XZ1_2_1_125034,Caloenas_nicobarica
G1_XZ1_2_1_48043,Balaeniceps_rex
G1_YZ1_1_1_133881,Phoenix_dactylifera
G1_YZ1_1_1_315329,Pampusana_beccarii
G1_YZ1_2_2_201628,Calochortus_balsensis
G1_YZ1_2_4_164471,Canna_indica
G1_YZ3_2_1_72597,Canna_indica
GA_UK16_2_153869,Nycticorax_caledonicus
GA_UK16_2_158555,Pampusana_beccarii
GA_YL1_2_1_62758,Pampusana_beccarii
GC_JX3_2_1_161686,Pampusana_beccarii
GD1_LD1_2_1_3680,Periplaneta_americana_dataset
GD1_LZ2_2_484260,Arhopalus_rusticus_dataset
GD1_QZ1_2_304821,Caloenas_nicobarica
GH_UK5_2_1_47680,Rhinella_marina
GL_LD2_2_1_266510,Aptinothrips_rufus_dataset
GL_LZ1_2_103943,Merops_apiaster
GL_LZ1_2_160921,Carpoglyphus_lactis
GL_QZ1_2_1_239438,Phoenix_dactylifera
GL_QZ2_2_67793,Aquilaria_sinensis
GL_X2_A1_1_8477,Sipha_flava_dataset
GL_X2_A1_3_26648,Smilax_azorica
GL_X2_A5_2_184218,Eratigena_atrica
GL_XX1_2_1_108914,Carpoglyphus_lactis
GL_XX1_2_1_11376,Rhinella_marina
GL_XX1_2_2_244916,Phoenix_dactylifera
GL_YZ1_2_1_17194,Rhizoctonia_solani
GM_UK1_2_1_23805,Balaeniceps_rex
GM_UK3_2_1_154109,Andrena_camellia_dataset
GM_XX2_2_1_71401,Crocanthemum_greenei
GM_YZ4_2_1_14759,Cyprinus_carpio
GM1_LZ2_2_1_189018,Frankliniella_intonsa_dataset
GM1_UK7_2_1_120186,Acheta_domesticus_dataset
GM1_YZ4_2_1_339613,Carpoglyphus_lactis
GQ1_LZ1_2_1_21318,Phoenix_dactylifera
GQ1_UK2_2_1_299669,Gossypium_arboreum
GQ1_UK3_2_1_13810,Solea_senegalensis
GQ1_XZ1_2_1_113745,Cosmoglyphus_oudemansi
GQ1_YZ1_2_1_204095,Alca_torda
GQ1_YZ1_2_1_235506,Calochortus_balsensis
GQ2_LZ2_2_1_125540,Periplaneta_americana_dataset
GW_XX1_2_74608,Ornithodoros_gurneyi
GW_XX1_2_92574,Tanypteryx_hageni_dataset
GW_YZ3_2_1_215553,Nematopogon_robertella_dataset
GW_YZ4_2_10765,Crocanthemum_greenei
H_NC_4_29386,Santalum_album
H_NC_4_29386,Scurrula_parasitica
H_NC_4_74078,Alca_torda
H_NC_4_74140,Armillaria_mellea
H_NC_4_93191,Pergamasus_crassipes
H_NC_5_116352,Anax_junius_dataset
H_NC_5_23059,Berberis_aquifolium
H_NC_5_81723,Pleurotus_ostreatus
H_NC_5_91443,Anax_junius_dataset
H_NC_7_103278,Pampusana_beccarii
H_NC_7_137116,Scheffersomyces_segobiensis
H_NC_7_47427,Carpoglyphus_lactis
H_NC_8_132367,Hydrangea_macrophylla
H_NC_8_145045,Rana_temporaria
H_NC_8_78357,Cocos_nucifera
H-NC-1_248220,Boana_sibleszi
H-NC-1_295897,Cryptotermes_longicollis_dataset
H-NC-1_401156,Carpoglyphus_lactis
H-NC-1_408646,Anania_coronata_dataset
H-NC-1_440904,Frankliniella_intonsa_dataset
H-NC-2_253689,Megalurothrips_usitatus_dataset
H-NC-2_289281,Cyprinus_carpio
H-NC-2_302274,Cosmoglyphus_oudemansi
H-NC-3_101977,Orthetrum_coerulescens_dataset
hnSP11W1_42146,Cosmoglyphus_oudemansi
J3_JX1_2_1_194224,Andrena_camellia_dataset
J3_LZ2_2_1_106804,Coptis_teeta
J3_LZ2_2_1_115561,homo_sapiens
L_YLD_2_2_13833,Erodium_cicutarium
L1_LD2_2_1B_23976,Carpoglyphus_lactis
L1_LZ1_2_1_14973,Frankliniella_intonsa_dataset
L1_LZ1_2_1_273295,Canna_indica
L1_LZ1_2_1_5434,Rana_temporaria
L1_YZ1_2_1_117501,Cyprinus_carpio
L3_LD1_2_1_126834,Coptis_teeta
L3_LD1_2_1_327761,Erodium_cicutarium
L5_YZ1_2_1_148938,Canna_indica
L5_YZ1_2_1_456323,Scheffersomyces_segobiensis
ld1SPW1_90563,Erodium_cicutarium
M_15_2_165277,Megalurothrips_usitatus_dataset
M_17_2_2_2161,Caloenas_nicobarica
M_17_2_2_377171,Santalum_album
M_17_2_2_377171,Scurrula_parasitica
M_46_2_2_121981,Alca_torda
M_46_2_3_4509,Zingiber_officinale
M_62_2_1_216467,Canna_indica
M_9_2_241960,Rana_temporaria
Nd19SPW1_185008,Alca_torda
Nd21SPO2_8907,Solea_senegalensis
Nd23SPW1_84716,Penicillium_citrinum
Nh11SPW1_125545,Rhizoctonia_solani
Nh16SPW1_202251,Frankliniella_intonsa_dataset
Nh16SPW1_39062,Chamaelirium_luteum
Nh53SPW1_81937,Pampusana_beccarii
Nh71SPO1_83426,Tanypteryx_hageni_dataset
Nh95SPO1_153219,Alca_torda
Nh95SPO1_175498,Canna_indica
Nq39SPO1_65587,Boa_constrictor
Nq43SPO2_117693,Alca_torda
Nq43SPO2_41735,Aquilaria_sinensis
Nq43SPO2_49499,Scheffersomyces_segobiensis
Nq43SPO2_54228,Rhinella_marina
Ns103SPW1_121601,Scheffersomyces_segobiensis
Ns103SPW1_27301,Tiliqua_scincoides
Ns106SPO1_104733,Quercus_engelmannii
Ns106SPO1_137578,Phylloscopus_plumbeitarsus
Ns116SPO1_129610,Juglans_californica
P1_LZ1_2_1_176876,Frankliniella_intonsa_dataset
P1_LZ1_2_1_28383,Phalangium_opilio
P1_TZ1_2_13646,homo_sapiens
P1_YZ1_2_11633,Pergamasus_crassipes
P1_YZ1_2_2447,Caloenas_nicobarica
SQ1_S1_2_466240,Areca_camarinensis
SZ1_YZ1_2_126381,Rhinella_marina
SZ1_YZ1_2_145033,Rhinella_marina
SZ1_YZ2_2_81446,Heterocephalus_glaber
SZ4_YZ1_1_112179,Erodium_cicutarium
X1_LZ1_2_1_158935,Coptis_teeta
X1_LZ1_2_1_25337,Succisa_pratensis
X1_LZ2_2_1_40843,Curcuma_longa
X1_LZ3_2_1_78241,Euphorbia_lathyris
X2_QZ1_2_1_89411,Boana_sibleszi
X2_XX2_2_1_251164,Tanypteryx_hageni_dataset
X2_XX2_2_1_69878,Leiobunum_manubriatum
X3_25_106382,Aedes_aegypti
X3_JX1_2_1_48521,Canna_indica
X3_LZ_1_2_1_130088,Achipteria_coleoptrata
X3_LZ_1_2_1_152482,Areca_camarinensis
X3_LZ_1_2_1_262473,Pampusana_beccarii
X3QZ1_2_1_189336,Bombus_bimaculatus_dataset
X4_GK1_2_1_80287,Areca_camarinensis
X4_LZ2_2_1_28021,Curcuma_longa
X4_PM1_2_1_91768,Caloenas_nicobarica
X5_JX1_2_1_121109,Areca_camarinensis
X5_JX1_2_1_12295,Frankliniella_intonsa_dataset
X5_JX1_2_1_150263,Stephania_cephalantha
X5_JX1_2_1_72737,Cosmoglyphus_oudemansi
X5_JX1_2_1_81333,Rhinella_marina
X5_YQ1_2_1_100264,Aquilaria_sinensis
X5_YQ1_2_1_204439,homo_sapiens
X5_YQ1_2_1_271392,Aquilaria_sinensis
X5_YQ1_2_1_41261,Succisa_pratensis
X5_YQ1_2_1_47899,Stephania_cephalantha
X5_YQ1_2_1_79806,Gomphocerus_sibiricus_dataset
X5_YQ1_2_1_99158,Ameiva_ameiva
XC1_YZ2_2_1_120034,Pteropus_alecto
XC2_YZ1_2_1_90897,Alca_torda
XC3_LZ4_2_1_36524,Anas_acuta
XC3_LZ4_2_1_53965,Frankliniella_intonsa_dataset
H_NC_8_73973,Riparia_riparia
D7_LZ3_2_1_146671,Bombus_bimaculatus_dataset
X2_011_139165,Acheta_domesticus_dataset
X2_09_71879,Megalurothrips_usitatus_dataset
M49_2_1_83929,Achipteria_coleoptrata
Nh53SPW1_35965,Frankliniella_intonsa_dataset
Nh54SPW1_129140,Aptinothrips_rufus_dataset
Nh55SPW2_215534,Erodium_cicutarium
GQ1_UK2_2_1_302608,Carpoglyphus_lactis
GQ1_UK2_2_1_2910,Caloenas_nicobarica
C2-YZ4-2-1_56837,Eratigena_atrica
GQ1_YZ1_2_1_157009,Andrena_camellia_dataset
X2_017_280193,Pergamasus_crassipes
X3_25_99716,homo_sapiens
B3_LZ2_2_68236,Pampusana_beccarii
B1_UK_H3_188294,Gomphocerus_sibiricus_dataset
B2_YZ_H1_63868,Canna_indica
L_YLD_2_2_33648,Acomys_cahirinus
B1_YZ_H2_10094,Merops_apiaster
D7_YZ1_2_1_40772,Andrena_camellia_dataset
B1_TZ_H2_237256,Merops_apiaster
C1-YZ1-H1_93844,Rhinella_marina
D7_LZ3_2_1_33468,Cosmoglyphus_oudemansi
GL_XX1_2_2_186728,Coptis_teeta
GL_YZ1_2_1_64181,Canna_indica
GL_YZ2_2_89993,Canna_indica
GM1_LZ3_2_1_116289,Cornus_florida
GM1_YZ1_2_1_67426,homo_sapiens
GQ2_LZ1_2_1_50023,Todus_mexicanus
GW_YZ5_2_21422,Sipha_flava_dataset
H_NC_8_128771,Juglans_californica
Ns103SPW1_58552,Calochortus_balsensis
P1_LW1_2_62155,Amilenus_aurantiacus
X2_LZ2_2_1_45509,Phalangium_opilio
XC1_LZ1_2_1_53024,Zingiber_officinale
B1_XXZ2_2_22747,Frankliniella_intonsa_dataset
BN_2_11_72012,Sorex_araneus
C1-UK-H1_160115,Aptinothrips_rufus_dataset
GW_YZ3_2_1_206691,Ardea_alba
GW_YZ5_2_25525,Chrysomya_bezziana_dataset
X1_LZ1_2_1_102345,Caloenas_nicobarica
X1_LZ3_2_1_112549,Stratiolaelaps_miles
B1_LZ1_2_3_40657,Periplaneta_americana_dataset
GL_LD_2_1_41503,Phoenix_dactylifera
D6_YZ3_2_28232,Frankliniella_intonsa_dataset
B1_UK_H2_74327,Orthetrum_coerulescens_dataset
B1_LZ1_2_3_180417,Alliopsis_billbergi_dataset
B2_YZ1_2_1_372098,Caloenas_nicobarica
D7_QZ1_2_10075,Alca_torda
J4_YZ1_2_1_127395,Cryptotermes_longicollis_dataset
GM1_YZ1_2_1_136610,Sus_scrofa
B2_YZ_H1_58312,Orthetrum_coerulescens_dataset
GM1_YZ2_2_1_72253,Canna_indica
Ns116SPO1_99412,Rhinella_marina
Nh25SPW1_30051,Erodium_cicutarium
Nh13SPW1_52124,Curcuma_longa
Nh55SPW2_309706,Amilenus_aurantiacus
Ns116SPO1_12112,Aramus_guarauna
M49_2_2_146344,Periplaneta_americana_dataset
A1_YZ1_2_1_14072,Tripterygium_wilfordii
A1_YZ1_2_1_19900,Gossypium_arboreum
A1_YZ1_2_1_90988,Pampusana_beccarii
A2_LZ1_2_150687,Anax_junius_dataset
B1_LD1_2_2_124936,Manihot_esculenta
B1_NC_2_1_101218,Viviania_marifolia
B2_LZ1_2_1_61723,Rhinella_marina
B2_TZ_H1_408225,Succisa_pratensis
B2_YZ_H1_92265,Amaurobius_ferox
B2_YZ1_2_1_334661,Pampusana_beccarii
B2_YZ6_2_42253,Rhinella_marina
B3_LZ1_2_76665,Tiliqua_scincoides
C1-UK-H2_150605,Tripterygium_wilfordii
C2-UK-H1_42296,Araneus_angulatus
C3-YZ4-2-1_81550,Ameiva_ameiva
D6_LD1_2_186368,Dipsacus_fullonum
D6_YZ2_2_91803,Macrotermes_natalensis_dataset
D7_QZ1_2_91794,Nycticorax_caledonicus
G1_QZ1_2_1_48289,Scheffersomyces_segobiensis
G1_TZ_H1_255763,Stephania_cephalantha
G1_XZ2_2_2_207133,Sipha_flava_dataset
G1_YZ1_2_4_210626,Coffea_arabica
G1_YZ2_2_1_128211,Stephania_cephalantha
G1_YZ2_2_1_236699,Coffea_arabica
G1_YZ2_2_1_254400,Erythroxylum_alaternifolium
GA_YZ1_2_23904,Canna_indica
GC_JX1_2_1_107787,homo_sapiens
GD1_UK1_2_1_89625,Cornus_florida
GD2_XX1_2_1_25780,Periplaneta_americana_dataset
GH_LZ1_2_1_170990,Tanypteryx_hageni_dataset
GL_LD_2_1_2637,Chimonanthus_praecox
GL_X2_A1_1_8159,Rhinella_marina
GL_XZ1_2_1_45616,Actenoides_hombroni
GL_YZ1_2_1_33254,Rana_temporaria
GL_YZ1_2_1_33261,Macrotermes_natalensis_dataset
GL_YZ1_2_1_47490,Tripterygium_wilfordii
GL_YZ2_2_11106,Viviania_marifolia
GM_HX1_2_1_11100,Eratigena_atrica
GM_UK1_2_1_83323,Bartramia_longicauda
GM_UK4_2_1_101747,Anax_junius_dataset
GM_UK4_2_1_120871,Sipha_flava_dataset
GM_UK4_2_1_66951,Viviania_marifolia
GM_XX1_2_1_123417,Dipsacus_fullonum
GM_XX1_2_1_75175,Scheffersomyces_segobiensis
GM_XX2_2_1_110651,Zingiber_officinale
GM_YZ1_2_1_28262,Tiliqua_scincoides
GM1_UK8_2_98636,Rhinella_marina
GQ1_LD1_2_1_165380,Boana_sibleszi
GQ1_MZ2_2_1_2112,Merops_apiaster
GQ1_XX1_2_1_88093,Nyssa_sinensis
GW_QZ2_2_41115,Nyssa_sinensis
GW_QZ2_2_45613,Cocos_nucifera
GW_XX1_2_2604,Carpinus_betulus
GW_YZ3_2_1_107565,Manihot_esculenta
GW_YZ4_2_95487,Chauna_torquata
H_NC_4_8956,Allygidius_commutatus_dataset
H_NC_5_139328,Periplaneta_americana_dataset
H-NC-1_323826,Aquilaria_sinensis
H-NC-2_100767,Periplaneta_americana_dataset
H-NC-2_159033,Canna_indica
H-NC-3_76169,Periplaneta_americana_dataset
J3_LZ2_2_1_76406,Pseudeuparius_sepicola_dataset
J4_YZ1_2_40221,Manihot_esculenta
J5_LD1_2_102832,Tripterygium_wilfordii
J5_LD1_2_105475,Merops_apiaster
J5_LD1_2_167000,Carpinus_betulus
L1_YZ4_2_125691,Rhinella_marina
L1_YZ4_2_131754,Berberis_aquifolium
M_11_2_3_6038,Nyssa_sinensis
M_18_1_217404,Coptis_teeta
M_46_2_2_127124,Merops_apiaster
Nh50SPW1_124884,Eratigena_atrica
P1_LZ1_2_1_78118,Tripterygium_wilfordii
P1_XX1_2_3548,Boa_constrictor
P1_YZ1_2_1716,Pampusana_beccarii
SJ1_Z1_1_325454,Carpinus_betulus
ST1_B1_1_34778,Sipha_flava_dataset
ST1_B1_1_5057,Quercus_engelmannii
ST1_B1_2_250406,Tripterygium_wilfordii
X2_01_270516,Pseudeuparius_sepicola_dataset
X2_02_18336,Phoenix_dactylifera
X2_02_69916,Rhinella_marina
X2_02_70559,Chimonanthus_praecox
X2_05_26200,Malania_oleifera
X2_05_47690,Rhinella_marina
X3_1_90800,Dipsacus_fullonum
X3_3_26334,Carpinus_betulus
X3_3_51270,Epicrius_mollis
X4_LZ3_2_1_185329,Alca_torda
XZ_JX1_2_1_117947,Coffea_arabica
YQ_E1_2_62027,Dipsacus_fullonum
A2_YZ3_2_83496,Canna_indica
B1_YZ_H1_131209,Santalum_album
B1_YZ_H1_131209,Scurrula_parasitica
C1-JB1-2-2_31135,Cosmoglyphus_oudemansi
C1-YZ1-H1_145656,Cyprinus_carpio
C1-YZ2-H2_107208,Aptinothrips_rufus_dataset
C2-LZ-H2_18271,Curcuma_longa
C2-YZ4-2-1_71459,Santalum_album
C2-YZ4-2-1_71459,Scurrula_parasitica
G1_XZ_H1_16430,Viviania_marifolia
G1_XZ2_2_1_18415,Pergamasus_crassipes
GC_JX1_2_1_207538,Canna_indica
GH_LZ1_2_1_70779,Cryptotermes_longicollis_dataset
GH_UK5_2_1_63547,Boana_sibleszi
GL_LZ1_2_140737,Caloenas_nicobarica
GL_YZ2_2_274474,Carpoglyphus_lactis
GM1_YZ3_2_1_179368,Phoenix_dactylifera
GQ1_MZ1_2_1_53775,Succisa_pratensis
GQ2_LZ3_2_1_133001,Callipepla_californica_brunnescens
GW_QZ2_2_14426,Ovis_aries
GW_YZ1_2_37949,Rhinella_marina
GW_YZ1_2_91479,Pampusana_beccarii
GW_YZ3_2_1_155853,Frankliniella_intonsa_dataset
GW_YZ3_2_1_237417,Stephania_cephalantha
GW_YZ4_2_73596,Periplaneta_americana_dataset
L2_LD2_2_149482,Heliornis_fulica
L2_LD2_2_159484,Frankliniella_intonsa_dataset
M_15_2_72068,Areca_camarinensis
Nd20SPO1_67543,Curcuma_longa
Nh12SPO4_36020,Alca_torda
Nh25SPW1_109172,Boana_sibleszi
Nh25SPW1_143529,Alca_torda
Nh68SPW1_193619,Aquilaria_sinensis
Nh96SPW1_59498,Aquilaria_sinensis
Ns103SPW1_141732,Aedes_aegypti
Ns118SPO11_141711,Alca_torda
SZ1_XX1_2_62935,Rhinella_marina
SZ1_YZ1_2_268372,Macrotermes_natalensis_dataset
SZ1_YZ2_2_15611,Dipsacus_fullonum
SZ1_YZ2_2_64113,Zingiber_officinale
X2_06_246537,Hydrangea_macrophylla
X2_LZ5_2_1_109990,Pampusana_beccarii
X2_NPF1_2_1_384669,Phoenix_dactylifera
X3_2_43132,Pampusana_beccarii
XZ_JX1_2_1_37021,Zingiber_officinale
XZ_JX1_2_1_53101,Ornithodoros_gurneyi
YQ_D1_1_226043,Carpinus_betulus
B1_LZ1_2_3_214319,Araneus_angulatus
B1_YZ_H2_189854,Achipteria_coleoptrata
B1_XZ_H4_76381,Manihot_esculenta
B1_NC_2_12_97478,Sipha_flava_dataset
C1-JB1-2-1_5953,Nyssa_sinensis
C1-TZ-H2_92978,Tanypteryx_hageni_dataset
C1-YZ1-H1_8193,Achipteria_coleoptrata
GC_JX1_2_1_115589,Amaurobius_ferox
GC_JX2_2_1_97474,Cinnamomum_aromaticum
GC_JX2_2_1_97474,Persea_americana
GW_QZ2_2_17628,Eratigena_atrica
GW_QZ2_2_61823,Rhinella_marina
GW_YZ1_2_83732,Tripterygium_wilfordii
Nh50SPW1_118909,Rhinella_marina
B1_NC_2_2_98394,Araneus_angulatus
B1_NC_1_129836,Santalum_album
B1_NC_1_129836,Scurrula_parasitica
B1_NC_2_1_132420,Andrena_camellia_dataset
B1_XXZ1_H2_156941,Berberis_aquifolium
B1_UK_H10_78555,Amilenus_aurantiacus
M_9_2_224779,Cyrtopogon_pulchripes_dataset
H-7-1-1_209333,Viviania_marifolia
B1_NC_2_2_153225,Carpoglyphus_lactis
A1_TZ1_2_220403,Curcuma_longa
P1_YZ1_2_29715,Chrysomya_bezziana_dataset
GL_DL_2_9815,Ardea_alba
GL_LZ1_2_64547,Cocos_nucifera
GM1_LZ3_2_1_27555,Cosmoglyphus_oudemansi
GM1_LZ3_2_1_77750,Coptis_teeta
J4_YZ1_2_5162,Scheffersomyces_segobiensis
J4_YZ1_2_103049,homo_sapiens
L1_YZ1_2_1_18048,Quercus_engelmannii
L1_YZ1_2_1_154127,Gomphocerus_sibiricus_dataset
L2_GC1_2_1_68628,Coffea_arabica
Nd19SPW1_150696,Canna_indica
Nh35SPW1_180350,homo_sapiens
Nh35SPW1_168368,Actenoides_hombroni
Ns105SPO1_189943,Carabus_banonii_dataset
X4_LZ2_2_1_52113,Alca_torda
A2_LZ1_2_94278,Megalurothrips_usitatus_dataset
B1_NC_2_12_67310,Macrotermes_natalensis_dataset
B1_YZ1_2_1_197983,Rana_temporaria
B2_QZ1_2_1_45432,Coptis_teeta
C2-LD1-2-3_36657,Anguilla_anguilla
GD2_XX1_2_1_125013,Coptis_teeta
GL_DL_2_5755,Cinnamomum_aromaticum
GL_DL_2_5755,Persea_americana
J5_LD1_2_157907,Epinephelus_lanceolatus
Nq41SPO1_23568,Aquilaria_sinensis
SZ1_YZ2_2_16408,Orthetrum_coerulescens_dataset
H-NC-2_247663,Carabus_banonii_dataset
M_18_1_150510,Cosmoglyphus_oudemansi
D6_YZ1_2_135878,Areca_camarinensis
H-NC-2_379931,Anas_acuta
M_97_2_1_189379,Tanypteryx_hageni_dataset
M_15_2_116994,Aptinothrips_rufus_dataset
GD1_LZ3_2_112641,Scheffersomyces_segobiensis
B1_YZ_H2_166265,Dipsacus_fullonum
B1_UK_H5_386224,Dipsacus_fullonum
SQ1_S1_3_333132,Merops_apiaster
D7_QZ1_2_93528,homo_sapiens
